binary,obf,struct,obj_class,rung,n,n_ambig,base_rate,U_entropy,U_bayes,U_entropy_ambig,U_bayes_ambig,beta_ambig,ece,auroc,align_ok,e_type,exec_vaddr,gt_n,ambig_provenance,resolve,n_clamp,status
switch_tailcall,code-in-data,tiled,instruction-start,R5,4197,3772,0.04860614724803431,0.12068605670449745,0.02584411347960338,0.1290566615056404,0.027928030474549594,0.05408271474019088,0.01919365859849201,0.8702478111204411,True,2,4160,204,junk_decoy_region,True,19,ok
switch_tailcall,code-in-data,tiled,function-head,R5,,,0.1154,,,,,,0.0882,1.0,True,2,4160,204,junk_decoy_region,True,19,ok
vtable_codec,code-in-data,tiled,instruction-start,R0,4531,3936,0.05672037077907747,0.1983254331111743,0.03766746256165802,0.2114549561374242,0.04055658435591293,0.06529471544715447,0.01905290821741945,0.8242973075823593,True,2,4176,257,junk_decoy_region,False,0,ok
vtable_codec,code-in-data,tiled,instruction-start,R1,4531,,0.0567,,,,,,0.0457,0.6432,True,2,4176,257,junk_decoy_region,False,0,ok
vtable_codec,code-in-data,tiled,function-head,R0,,,0.1579,,,,,,0.1327,0.8021,True,2,4176,257,junk_decoy_region,False,0,ok
vtable_codec,code-in-data,tiled,instruction-start,R2,4531,3936,0.05672037077907747,0.09794342087603047,0.01449687677316706,0.10328100048965531,0.015382411950003958,0.06529471544715447,0.02633296211449571,0.8559714971895945,True,2,4176,257,junk_decoy_region,False,0,ok
vtable_codec,code-in-data,tiled,function-head,R2,,,0.1579,,,,,,0.1327,0.8021,True,2,4176,257,junk_decoy_region,False,0,ok
vtable_codec,code-in-data,tiled,instruction-start,R3,4531,3936,0.05672037077907747,0.09794342087603047,0.01449687677316706,0.10328100048965531,0.015382411950003958,0.06529471544715447,0.02633296211449571,0.8559714971895945,True,2,4176,257,junk_decoy_region,True,0,ok
vtable_codec,code-in-data,tiled,function-head,R3,,,0.1579,,,,,,0.1327,0.8021,True,2,4176,257,junk_decoy_region,True,0,ok
vtable_codec,code-in-data,tiled,instruction-start,R4,4531,3936,0.05672037077907747,0.07577182668637568,0.010265441462035427,0.0790662339109811,0.010761949672159415,0.06529471544715447,0.028136677275550095,0.8604584047238847,True,2,4176,257,junk_decoy_region,True,14,ok
vtable_codec,code-in-data,tiled,function-head,R4,,,0.1579,,,,,,0.1801,1.0,True,2,4176,257,junk_decoy_region,True,14,ok
vtable_codec,code-in-data,tiled,instruction-start,R5,4531,3936,0.05672037077907747,0.07577182668637568,0.010265441462035427,0.0790662339109811,0.010761949672159415,0.06529471544715447,0.028136677275550095,0.8604584047238847,True,2,4176,257,junk_decoy_region,True,27,ok
vtable_codec,code-in-data,tiled,function-head,R5,,,0.1579,,,,,,0.1801,1.0,True,2,4176,257,junk_decoy_region,True,27,ok
vtable_shapes,code-in-data,tiled,instruction-start,R0,4518,3965,0.05201416555998229,0.1673266456007127,0.029647569461515286,0.178159695755147,0.03183944713579829,0.05926860025220681,0.022366596098467004,0.831398254355418,True,2,4176,235,junk_decoy_region,False,0,ok
vtable_shapes,code-in-data,tiled,instruction-start,R1,4518,,0.052,,,,,,0.0654,0.7258,True,2,4176,235,junk_decoy_region,False,0,ok
vtable_shapes,code-in-data,tiled,function-head,R0,,,0.1364,,,,,,0.2661,0.7018,True,2,4176,235,junk_decoy_region,False,0,ok
vtable_shapes,code-in-data,tiled,instruction-start,R2,4518,3965,0.05201416555998229,0.15835818818482503,0.035732532498140956,0.17269613178125492,0.039486084174683175,0.05926860025220681,0.00942018994541822,0.8737825445477171,True,2,4176,235,junk_decoy_region,False,0,ok
vtable_shapes,code-in-data,tiled,function-head,R2,,,0.1364,,,,,,0.2661,0.7018,True,2,4176,235,junk_decoy_region,False,0,ok
vtable_shapes,code-in-data,tiled,instruction-start,R3,4518,3965,0.05201416555998229,0.15835818818482503,0.035732532498140956,0.17269613178125492,0.039486084174683175,0.05926860025220681,0.00942018994541822,0.8737825445477171,True,2,4176,235,junk_decoy_region,True,0,ok
vtable_shapes,code-in-data,tiled,function-head,R3,,,0.1364,,,,,,0.2661,0.7018,True,2,4176,235,junk_decoy_region,True,0,ok
vtable_shapes,code-in-data,tiled,instruction-start,R4,4518,3965,0.05201416555998229,0.11208000038167024,0.01838494625318502,0.12042374873493503,0.019905075875519457,0.05926860025220681,0.015036921830037644,0.877885852529297,True,2,4176,235,junk_decoy_region,True,12,ok
vtable_shapes,code-in-data,tiled,function-head,R4,,,0.1364,,,,,,0.3184,1.0,True,2,4176,235,junk_decoy_region,True,12,ok
vtable_shapes,code-in-data,tiled,instruction-start,R5,4518,3965,0.05201416555998229,0.11208000038167024,0.01838494625318502,0.12042374873493503,0.019905075875519457,0.05926860025220681,0.015036921830037644,0.877885852529297,True,2,4176,235,junk_decoy_region,True,24,ok
vtable_shapes,code-in-data,tiled,function-head,R5,,,0.1364,,,,,,0.3184,1.0,True,2,4176,235,junk_decoy_region,True,24,ok
gcc_coreutils_64_O2_ls_disconnected,decoy-heavy,disconnected,instruction-start,R0,123289,18142,0.13724663189741176,0.15495265349642853,0.030756602633967903,0.4163323660134105,0.08522291778739682,0.9326976077609965,0.10649002926344386,0.9248323855270023,True,2,4204928,16921,manifest.decoy_entries,False,0,ok
gcc_coreutils_64_O2_ls_disconnected,decoy-heavy,disconnected,instruction-start,R1,123289,,0.1372,,,,,,0.0556,0.8103,True,2,4204928,16921,manifest.decoy_entries,False,0,ok
gcc_coreutils_64_O2_ls_disconnected,decoy-heavy,disconnected,function-head,R0,,,0.3305,,,,,,0.1689,0.9253,True,2,4204928,16921,manifest.decoy_entries,False,0,ok
gcc_coreutils_64_O2_ls_disconnected,decoy-heavy,disconnected,instruction-start,R2,123289,18142,0.13724663189741176,0.1319887235587506,0.028389752228695636,0.29242147421114983,0.06810117089306593,0.9326976077609965,0.037423094010625414,0.9574192408681071,True,2,4204928,16921,manifest.decoy_entries,False,0,ok
gcc_coreutils_64_O2_ls_disconnected,decoy-heavy,disconnected,function-head,R2,,,0.3305,,,,,,0.1689,0.9253,True,2,4204928,16921,manifest.decoy_entries,False,0,ok
gcc_coreutils_64_O2_ls_disconnected,decoy-heavy,disconnected,instruction-start,R3,123289,18142,0.13724663189741176,0.1319887235587506,0.028389752228695636,0.29242147421114983,0.06810117089306593,0.9326976077609965,0.037423094010625414,0.9574192033650429,True,2,4204928,16921,manifest.decoy_entries,True,0,ok
gcc_coreutils_64_O2_ls_disconnected,decoy-heavy,disconnected,function-head,R3,,,0.3305,,,,,,0.1689,0.9253,True,2,4204928,16921,manifest.decoy_entries,True,0,ok
gcc_coreutils_64_O2_ls_disconnected,decoy-heavy,disconnected,instruction-start,R4,123289,18142,0.13724663189741176,0.12547318705291077,0.027469614308028543,0.23896902975500423,0.05671934467724653,0.9326976077609965,0.037889014604525026,0.9580030096770218,True,2,4204928,16921,manifest.decoy_entries,True,122,ok
gcc_coreutils_64_O2_ls_disconnected,decoy-heavy,disconnected,function-head,R4,,,0.3305,,,,,,0.1964,0.9719,True,2,4204928,16921,manifest.decoy_entries,True,122,ok
gcc_coreutils_64_O2_ls_disconnected,decoy-heavy,disconnected,instruction-start,R5,123289,18142,0.13724663189741176,0.10869373927671419,0.021605221429445015,0.17450248671835228,0.036101940475746455,0.9326976077609965,0.03376062629419644,0.9594571734918999,True,2,4204928,16921,manifest.decoy_entries,True,244,ok
gcc_coreutils_64_O2_ls_disconnected,decoy-heavy,disconnected,function-head,R5,,,0.3305,,,,,,0.2113,1.0,True,2,4204928,16921,manifest.decoy_entries,True,244,ok
gcc_coreutils_64_O2_ls_high-posterior,decoy-heavy,high-posterior,instruction-start,R0,124388,18335,0.13603402257452488,0.15373320255385958,0.029858460629546293,0.400474794704521,0.08049206848463683,0.9228797382056176,0.10617556194497858,0.9267271709793306,True,2,4204928,16921,manifest.decoy_entries,False,0,ok
gcc_coreutils_64_O2_ls_high-posterior,decoy-heavy,high-posterior,instruction-start,R1,124388,,0.136,,,,,,0.0586,0.8128,True,2,4204928,16921,manifest.decoy_entries,False,0,ok
gcc_coreutils_64_O2_ls_high-posterior,decoy-heavy,high-posterior,function-head,R0,,,0.3676,,,,,,0.1003,0.9509,True,2,4204928,16921,manifest.decoy_entries,False,0,ok
gcc_coreutils_64_O2_ls_high-posterior,decoy-heavy,high-posterior,instruction-start,R2,124388,18335,0.13603402257452488,0.12256264182292773,0.02598799629879307,0.24663473188942422,0.05546997979475346,0.9228797382056176,0.03329424957700855,0.9589463533993751,True,2,4204928,16921,manifest.decoy_entries,False,0,ok
gcc_coreutils_64_O2_ls_high-posterior,decoy-heavy,high-posterior,function-head,R2,,,0.3676,,,,,,0.1003,0.9509,True,2,4204928,16921,manifest.decoy_entries,False,0,ok
gcc_coreutils_64_O2_ls_high-posterior,decoy-heavy,high-posterior,instruction-start,R3,124388,18335,0.13603402257452488,0.12256264182292773,0.02598799629879307,0.24663473188942422,0.05546997979475346,0.9228797382056176,0.03329424957700855,0.9589463533993751,True,2,4204928,16921,manifest.decoy_entries,True,0,ok
gcc_coreutils_64_O2_ls_high-posterior,decoy-heavy,high-posterior,function-head,R3,,,0.3676,,,,,,0.1003,0.9509,True,2,4204928,16921,manifest.decoy_entries,True,0,ok
gcc_coreutils_64_O2_ls_high-posterior,decoy-heavy,high-posterior,instruction-start,R4,124388,18335,0.13603402257452488,0.11832346690551351,0.02502024266295566,0.2172701248007648,0.04869097343856742,0.9228797382056176,0.03381983837378719,0.9592534516282176,True,2,4204928,16921,manifest.decoy_entries,True,122,ok
