key	value
mu	0.0692314000
c	4.0343215059
z95	1.645
glob_hi	2.5147025000
flat_spat_hi	0.1051780000
pack_ent_lo	7.1688000000
n_fit	20
replay_checked	1874
n_crossover	34084.5195948834
fit_n_lo	11377
fit_n_hi	81851
T_500	0.3660228636
Tflr_500	0.3660228636
T_4000	0.1741630282
Tflr_4000	0.1741630282
T_32000	0.1063303329
Tflr_32000	0.1063303329
