name,role,n,base_rate,code_bytes,region_entropy,ece_calibrated,ece_raw,s_glob_surprise,s_glob_nis,s_spat_moran,s_spat_clustered,mean_nis,frac_super
desync_coreutils_64_O0_sum,desync,70654,0.289255,77714,6.0676,0.048696,0.053383,23.286205,792.633919,0.159600,0.214679,792.633919,0.056501
desync_coreutils_64_O0_sync,desync,40209,0.293019,43938,6.1062,0.052098,0.057554,24.322264,837.837070,0.165798,0.220840,837.837070,0.057997
desync_coreutils_64_O0_join,desync,70157,0.291033,76738,6.0789,0.053757,0.058060,25.885341,831.274404,0.165407,0.211455,831.274404,0.062218
desync_coreutils_64_O0_wc,desync,78664,0.277459,85538,6.1313,0.056844,0.061078,24.784693,804.148596,0.165927,0.196767,804.148596,0.058985
desync_coreutils_64_O0_uniq,desync,54170,0.291028,59202,6.0822,0.049830,0.055992,24.274554,805.998666,0.166225,0.244795,805.998666,0.058519
desync_coreutils_64_O0_chroot,desync,55162,0.292466,60466,6.0886,0.051229,0.056714,25.034864,830.964829,0.164574,0.228859,830.964829,0.061310
desync_coreutils_64_O0_tail,desync,130672,0.284575,143794,6.1038,0.049130,0.052266,25.616429,817.165780,0.174519,0.211182,817.165780,0.063235
desync_coreutils_64_O0_numfmt,desync,79480,0.290388,87138,6.0982,0.049175,0.054781,24.046317,803.463129,0.160532,0.215401,803.463129,0.058820
desync_coreutils_64_O0_tac,desync,51903,0.289791,56946,6.0794,0.051590,0.056289,24.770482,850.792761,0.161372,0.239770,850.792761,0.060266
desync_coreutils_64_O0_split,desync,91902,0.288405,100962,6.0658,0.049499,0.053754,24.419578,817.473408,0.158737,0.210660,817.473408,0.059814
desync_coreutils_64_O0_nice,desync,41297,0.293484,45122,6.0915,0.050478,0.056638,23.498406,813.918976,0.154184,0.201623,813.918976,0.056687
desync_coreutils_64_O0_shuf,desync,90314,0.292092,99042,6.0611,0.047408,0.051460,24.601659,795.580362,0.164026,0.201320,795.580362,0.060389
desync_coreutils_64_O0_nohup,desync,44030,0.292414,48386,6.0754,0.048450,0.053887,23.605692,823.403780,0.164947,0.207937,823.403780,0.057234
desync_coreutils_64_O0_csplit,desync,71967,0.290397,78594,6.0849,0.051162,0.055828,25.439205,825.127443,0.157359,0.218687,825.127443,0.062015
desync_coreutils_64_O0_du,desync,168640,0.288443,184562,6.1087,0.049874,0.053619,25.312103,791.910260,0.170208,0.223940,791.910260,0.061379
desync_coreutils_64_O0_df,desync,230756,0.278008,254610,6.0892,0.047307,0.051244,22.467867,773.311808,0.170272,0.210016,773.311808,0.056332
desync_coreutils_64_O0_cp,desync,179308,0.285431,198082,6.0917,0.048721,0.051567,26.181091,802.445057,0.176093,0.239330,802.445057,0.064548
desync_coreutils_64_O0_expand,desync,46546,0.291303,50674,6.0843,0.051064,0.055640,24.676088,828.159408,0.169425,0.240721,828.159408,0.060779
desync_coreutils_64_O0_uname,desync,37931,0.293138,41394,6.1075,0.049135,0.055912,23.015125,818.908590,0.156639,0.211248,818.908590,0.055786
ls_packed,packed,45567,0.000000,52739,7.8887,0.365154,0.366740,1.317731,523.680382,0.141042,0.120178,523.680382,0.014791
