offset,addr,cavity_q,local_m,residual,surprise,event,label
43220,0xcc44,0.99944,1.00000,0.02362,0.00056,0,1
43221,0xcc45,0.00000,0.20000,20.00100,0.22314,0,0
43222,0xcc46,0.00000,0.20000,20.00100,0.22314,0,0
43223,0xcc47,0.00000,0.20000,20.00100,0.22314,0,0
43224,0xcc48,0.99998,1.00000,0.00191,0.00002,0,1
43225,0xcc49,0.00000,0.20000,20.00100,0.22314,0,0
43226,0xcc4a,0.00000,0.20000,20.00100,0.22314,0,0
43227,0xcc4b,0.00000,0.20000,20.00100,0.22314,0,0
43228,0xcc4c,0.00000,0.20000,20.00100,0.22314,0,0
43229,0xcc4d,0.00000,0.20000,20.00100,0.22314,0,0
43230,0xcc4e,0.00000,0.20000,20.00100,0.22314,0,0
43231,0xcc4f,0.00000,0.20000,20.00100,0.22314,0,0
43232,0xcc50,0.99999,1.00000,0.00095,0.00001,0,1
43233,0xcc51,0.00000,0.20000,20.00100,0.22314,0,0
43234,0xcc52,0.00000,0.20000,20.00100,0.22314,0,0
43235,0xcc53,0.99999,1.00000,0.00095,0.00001,0,1
43236,0xcc54,0.00000,0.20000,20.00100,0.22314,0,0
43237,0xcc55,0.00000,0.20000,20.00100,0.22314,0,0
43238,0xcc56,0.99969,1.00000,0.01774,0.00031,0,1
43239,0xcc57,0.00000,0.20000,20.00100,0.22314,0,0
43240,0xcc58,0.00000,0.20000,20.00100,0.22314,0,0
43241,0xcc59,0.00000,0.20000,20.00100,0.22314,0,0
43242,0xcc5a,1.00000,1.00000,0.00019,0.00000,0,1
43243,0xcc5b,0.00000,0.20000,20.00100,0.22314,0,0
43244,0xcc5c,0.00000,0.20000,20.00100,0.22314,0,0
43245,0xcc5d,1.00000,1.00000,0.00019,0.00000,0,1
43246,0xcc5e,0.00000,0.20000,20.00100,0.22314,0,0
43247,0xcc5f,0.99996,1.00000,0.00358,0.00004,0,1
43248,0xcc60,0.00000,0.20000,20.00100,0.22314,0,0
43249,0xcc61,0.00012,1.00000,90.51243,9.01110,0,0
43250,0xcc62,0.00000,0.20000,20.00100,0.22314,0,0
43251,0xcc63,0.00000,1.00000,100.00500,557.42362,1,0
43252,0xcc64,0.00000,0.20000,20.00100,0.22314,0,0
43253,0xcc65,0.00000,0.20000,20.00100,0.22314,0,0
43254,0xcc66,0.00000,1.00000,100.00500,266.73287,1,1
43255,0xcc67,0.00000,0.20000,20.00100,0.22314,0,0
43256,0xcc68,0.00000,0.20000,20.00100,0.22314,0,0
43257,0xcc69,0.00000,0.20000,20.00100,0.22314,0,0
43258,0xcc6a,0.00000,1.00000,100.00500,265.18769,1,1
43259,0xcc6b,0.00000,0.20000,20.00100,0.22314,0,0
43261,0xcc6d,1.00000,1.00000,0.00000,-0.00000,0,1
43262,0xcc6e,0.00000,0.20000,20.00100,0.22314,0,0
43265,0xcc71,0.00000,0.20000,20.00100,0.22314,0,0
43266,0xcc72,0.99999,1.00000,0.00076,0.00001,0,1
43267,0xcc73,0.99805,1.00000,0.04419,0.00195,0,1
43268,0xcc74,1.00000,1.00000,0.00000,-0.00000,0,1
43269,0xcc75,0.00000,0.20000,20.00100,0.22314,0,0
43270,0xcc76,0.00000,0.20000,20.00100,0.22314,0,0
43271,0xcc77,0.99999,1.00000,0.00119,0.00001,0,1
43272,0xcc78,0.00000,0.20000,20.00100,0.22314,0,0
43273,0xcc79,0.00000,0.20000,20.00100,0.22314,0,0
43277,0xcc7d,0.00000,0.92453,92.45745,2.58400,0,0
43278,0xcc7e,0.99990,1.00000,0.01005,0.00010,0,1
43279,0xcc7f,0.00000,0.92453,92.45745,2.58400,0,0
43280,0xcc80,0.00000,0.20000,20.00100,0.22314,0,0
43281,0xcc81,0.99999,1.00000,0.00138,0.00001,0,1
43282,0xcc82,0.00000,0.20000,20.00100,0.22314,0,0
43283,0xcc83,0.00000,0.92453,92.45745,2.58400,0,0
43284,0xcc84,0.00000,0.20000,20.00100,0.22314,0,0
43285,0xcc85,0.99996,1.00000,0.00358,0.00004,0,1
43286,0xcc86,0.00000,0.92453,92.45745,2.58400,0,0
43287,0xcc87,0.00000,1.00000,100.00500,560.60679,1,0
43288,0xcc88,0.00000,0.92453,92.45745,2.58400,0,0
43289,0xcc89,0.00000,0.92453,92.45745,2.58400,0,0
43290,0xcc8a,0.00000,1.00000,100.00500,261.18769,1,1
43291,0xcc8b,0.00000,1.00000,100.00500,542.15888,1,1
43292,0xcc8c,0.00000,0.92453,92.45745,2.58400,0,0
43293,0xcc8d,0.00000,1.00000,100.00500,553.24923,1,0
43294,0xcc8e,0.00000,1.00000,100.00500,542.15888,1,1
43295,0xcc8f,0.00000,1.00000,100.00500,276.27804,1,0
43296,0xcc90,0.00000,0.20000,20.00100,0.22314,0,0
43297,0xcc91,0.00000,0.20000,20.00100,0.22314,0,0
43298,0xcc92,0.99682,1.00000,0.05652,0.00319,0,1
43299,0xcc93,0.00000,0.20000,20.00100,0.22314,0,0
43300,0xcc94,0.00000,0.92453,92.45745,2.58400,0,0
43301,0xcc95,0.00000,0.20000,20.00100,0.22314,0,0
43302,0xcc96,0.99696,1.00000,0.05524,0.00305,0,1
43303,0xcc97,0.00000,0.20000,20.00100,0.22314,0,0
43304,0xcc98,0.00000,0.20000,20.00100,0.22314,0,0
43305,0xcc99,0.00000,0.20000,20.00100,0.22314,0,0
43306,0xcc9a,0.99953,1.00000,0.02168,0.00047,0,1
