name,arm,program,packer,build,packed,n,code_bytes,region_ent,s_glob,s_spat,t_n,fire_flat,fire_tn,rule_pick,guard_pick,rule_pick_tn,guard_pick_tn,gt_kind,ece_always_benign,ece_oracle,ece_rule,ece_guard
nl.upxlzma__upxlzma,breadth_reference,nl,upxlzma,debian_coreutils,True,39532,45262,7.848550,0.932241,0.182922,0.105178,true,true,packed,packed,,,provable_data,0.377330,0.000000,0.000000,0.000000
paste.upxlzma__upxlzma,breadth_reference,paste,upxlzma,debian_coreutils,True,15474,17494,7.832569,0.859366,0.168061,0.122581,true,true,packed,packed,,,provable_data,0.379824,0.000000,0.000000,0.000000
tail.upxlzma__upxlzma,breadth_reference,tail,upxlzma,debian_coreutils,True,26480,30222,7.846950,0.947940,0.180124,0.110014,true,true,packed,packed,,,provable_data,0.378283,0.000000,0.000000,0.000000
tr.upxlzma__upxlzma,breadth_reference,tr,upxlzma,debian_coreutils,True,19995,22758,7.834263,0.938782,0.168030,0.116164,true,true,packed,packed,,,provable_data,0.381234,0.000000,0.000000,0.000000
uniq.upxlzma__upxlzma,breadth_reference,uniq,upxlzma,debian_coreutils,True,18016,20382,7.839980,0.946259,0.192074,0.118674,true,true,packed,packed,,,provable_data,0.374547,0.000000,0.000000,0.000000
wc.upxlzma__upxlzma,breadth_reference,wc,upxlzma,debian_coreutils,True,17922,20414,7.838643,0.859268,0.168070,0.118804,true,true,packed,packed,,,provable_data,0.376499,0.000000,0.000000,0.000000
cat.upxnrv__upxnrv,breadth_reference,cat,upxnrv,debian_coreutils,True,19817,23141,7.712104,1.183582,0.222807,0.116374,true,true,packed,packed,,,provable_data,0.360556,0.000000,0.000000,0.000000
comm.upxnrv__upxnrv,breadth_reference,comm,upxnrv,debian_coreutils,True,16110,18709,7.696315,1.138418,0.183056,0.121517,true,true,packed,packed,,,provable_data,0.366725,0.000000,0.000000,0.000000
cut.upxnrv__upxnrv,breadth_reference,cut,upxnrv,debian_coreutils,True,20103,23413,7.709277,1.149110,0.209263,0.116037,true,true,packed,packed,,,provable_data,0.364030,0.000000,0.000000,0.000000
fold.upxnrv__upxnrv,breadth_reference,fold,upxnrv,debian_coreutils,True,14949,17445,7.731762,1.136135,0.203111,0.123510,true,true,packed,packed,,,provable_data,0.367614,0.000000,0.000000,0.000000
head.upxnrv__upxnrv,breadth_reference,head,upxnrv,debian_coreutils,True,17760,20669,7.699121,1.121659,0.203999,0.119029,true,true,packed,packed,,,provable_data,0.361070,0.000000,0.000000,0.000000
join.upxnrv__upxnrv,breadth_reference,join,upxnrv,debian_coreutils,True,19580,22781,7.721267,1.200841,0.206559,0.116658,true,true,packed,packed,,,provable_data,0.361575,0.000000,0.000000,0.000000
nl.upxnrv__upxnrv,breadth_reference,nl,upxnrv,debian_coreutils,True,44431,51453,7.707806,1.049873,0.192496,0.105178,true,true,packed,packed,,,provable_data,0.358002,0.000000,0.000000,0.000000
paste.upxnrv__upxnrv,breadth_reference,paste,upxnrv,debian_coreutils,True,14900,17229,7.722868,1.156329,0.217413,0.123599,true,true,packed,packed,,,provable_data,0.367614,0.000000,0.000000,0.000000
tail.upxnrv__upxnrv,breadth_reference,tail,upxnrv,debian_coreutils,True,27863,32469,7.714447,1.088320,0.207549,0.108989,true,true,packed,packed,,,provable_data,0.359550,0.000000,0.000000,0.000000
tr.upxnrv__upxnrv,breadth_reference,tr,upxnrv,debian_coreutils,True,20131,23453,7.700193,1.162138,0.203851,0.116005,true,true,packed,packed,,,provable_data,0.367506,0.000000,0.000000,0.000000
uniq.upxnrv__upxnrv,breadth_reference,uniq,upxnrv,debian_coreutils,True,17662,20677,7.722428,1.058527,0.214459,0.119167,true,true,packed,packed,,,provable_data,0.370346,0.000000,0.000000,0.000000
wc.upxnrv__upxnrv,breadth_reference,wc,upxnrv,debian_coreutils,True,17892,20845,7.714342,1.075411,0.197332,0.118845,true,true,packed,packed,,,provable_data,0.362763,0.000000,0.000000,0.000000
p01_statemachine,glibc_clean,p01_statemachine,none,glibc_O2_g_nopie,False,538,577,5.735301,0.337831,0.157002,0.355349,true,false,packed,benign,benign,benign,,,,,
p02_insertsort,glibc_clean,p02_insertsort,none,glibc_O2_g_nopie,False,476,513,5.863455,0.387456,0.131384,0.373413,true,false,packed,benign,benign,benign,,,,,
p05_vm,glibc_clean,p05_vm,none,glibc_O2_g_nopie,False,577,641,5.954572,0.511007,0.017808,0.345510,false,false,benign,benign,benign,benign,,,,,
p06_parser,glibc_clean,p06_parser,none,glibc_O2_g_nopie,False,416,449,5.855385,0.354087,0.153669,0.394610,true,false,packed,benign,benign,benign,,,,,
p07_crc,glibc_clean,p07_crc,none,glibc_O2_g_nopie,False,334,369,5.759623,0.354128,0.255183,0.432362,true,false,packed,benign,benign,benign,,,,,
p08_binsearch,glibc_clean,p08_binsearch,none,glibc_O2_g_nopie,False,369,401,5.802524,0.318714,0.249299,0.414711,true,false,packed,benign,benign,benign,,,,,
p09_matmul,glibc_clean,p09_matmul,none,glibc_O2_g_nopie,False,570,609,5.951438,0.676178,0.203580,0.347202,true,false,packed,benign,benign,benign,,,,,
p10_collatz,glibc_clean,p10_collatz,none,glibc_O2_g_nopie,False,355,385,5.806096,1.143966,0.343402,0.421458,true,false,packed,benign,benign,benign,,,,,
p12_modpow,glibc_clean,p12_modpow,none,glibc_O2_g_nopie,False,526,577,5.611486,0.411167,0.240490,0.358594,true,false,packed,benign,benign,benign,,,,,
p01_statemachine.kite,glibc_packed,p01_statemachine,kite,glibc_O2_g_nopie,True,14347,15773,5.974718,0.474183,0.103861,0.124637,false,false,benign,benign,benign,benign,routing_only,0.286800,0.000000,0.286800,0.286800
p02_insertsort.kite,glibc_packed,p02_insertsort,kite,glibc_O2_g_nopie,True,14354,15773,5.974718,0.483158,0.093705,0.124623,false,false,benign,benign,benign,benign,routing_only,0.287596,0.000000,0.287596,0.287596
