name,regime,sublabel,n,code_bytes,base_rate,ece_always_benign,ece_oracle,ece_mmae,ece_clf,ece_rule,ece_guard,region_ent,mmae_pick,mmae_nis_pick,clf_pick,rule_pick,guard_pick,s_glob_benign_eng,s_spat_benign_eng,s_glob_packed_eng,s_glob_obf_eng,nis_benign_eng,nis_packed_eng,nis_obf_eng
icc_coreutils_64_O0_mknod,benign,clean,21704,23920,0.299438,0.002566,0.002566,0.002566,0.002566,0.002566,0.002566,5.628898,benign,benign,benign,benign,benign,0.813947,0.059456,0.813947,1.072887,452.020975,452.020975,782.808901
icc_coreutils_64_O0_logname,benign,clean,17869,19804,0.297387,0.003196,0.003196,0.003196,0.003196,0.003196,0.003196,5.610452,benign,benign,benign,benign,benign,0.877168,0.064681,0.877168,1.134499,445.153786,445.153786,769.333612
icc_coreutils_64_O2_getlimits,benign,clean,29374,32316,0.263703,0.001679,0.001679,0.001679,0.001679,0.001679,0.001679,6.155853,benign,benign,benign,benign,benign,0.668835,0.085178,0.668835,0.951631,475.407646,475.407646,813.439324
icc_coreutils_64_O0_pwd,benign,clean,21195,23592,0.298278,0.003798,0.003798,0.003798,0.003798,0.003798,0.003798,5.581237,benign,benign,benign,benign,benign,0.933439,0.061015,0.933439,1.193010,479.095859,479.095859,803.391358
gcc_coreutils_64_O2_mktemp,benign,clean,20162,22156,0.281867,0.003296,0.003296,0.281867,0.003296,0.003296,0.003296,6.162636,packed,packed,benign,benign,benign,0.679832,0.078947,0.678744,0.962008,500.159837,499.310337,824.470424
gcc_coreutils_64_O2_dirname,benign,clean,14582,15980,0.278905,0.004828,0.004828,0.004828,0.004828,0.004828,0.004828,6.223370,benign,benign,benign,benign,benign,0.671965,0.088253,0.671965,0.954628,472.382139,472.382139,793.792245
desync_coreutils_64_O0_logname,obfuscated,pilot,37038,40418,0.293077,0.051452,0.028799,0.051452,0.028799,0.028799,0.028799,6.012177,benign,benign,obfuscated,obfuscated,obfuscated,21.961265,0.159419,21.961265,22.255730,753.869070,753.869070,1089.241538
desync_coreutils_64_O0_logname,obfuscated,d1_med,50633,55506,0.292240,0.065805,0.016248,0.292240,0.016248,0.016248,0.016248,6.109685,packed,packed,obfuscated,obfuscated,obfuscated,28.924116,0.181606,28.924108,29.214536,824.920098,824.909580,1160.886900
desync_coreutils_64_O0_logname,obfuscated,d2_heavy,118573,128978,0.277888,0.100661,0.017485,0.277888,0.017485,0.017485,0.017485,6.273546,packed,packed,obfuscated,obfuscated,obfuscated,43.923278,0.208761,43.923082,44.213087,986.062881,985.897852,1323.490769
desync_coreutils_64_O0_logname,obfuscated,d3_max,126777,137666,0.254936,0.124241,0.040921,0.254936,0.040921,0.040921,0.040921,6.611280,packed,packed,obfuscated,obfuscated,obfuscated,45.511459,0.220661,45.502274,45.807532,1036.754097,1029.302194,1371.691896
desync_coreutils_64_O0_runcon,obfuscated,pilot,39491,43106,0.292928,0.052355,0.027261,0.052355,0.027261,0.027261,0.027261,6.046622,benign,benign,obfuscated,obfuscated,obfuscated,21.956092,0.163940,21.956092,22.249865,756.564728,756.564728,1089.294619
desync_coreutils_64_O0_runcon,obfuscated,d1_med,54456,59650,0.292511,0.067471,0.016576,0.292511,0.016576,0.016576,0.016576,6.108841,packed,packed,obfuscated,obfuscated,obfuscated,27.475238,0.166264,27.475236,27.770040,826.707929,826.705853,1159.093038
p01_statemachine.upxnrv__small_upxnrv,packed,small_upxnrv,4030,4557,0.000000,0.329581,0.000000,0.000000,0.000000,0.000000,0.000000,7.592249,packed,packed,packed,packed,packed,1.051875,0.231479,0.899456,1.195149,395.353058,307.679481,528.808123
p02_insertsort.upxnrv__small_upxnrv,packed,small_upxnrv,3954,4493,0.000000,0.348800,0.000000,0.000000,0.000000,0.000000,0.000000,7.612449,packed,packed,packed,packed,packed,1.268586,0.234392,1.111753,1.416752,421.395426,332.062809,558.505910
p05_vm.upxnrv__small_upxnrv,packed,small_upxnrv,4088,4645,0.000000,0.338112,0.000000,0.000000,0.000000,0.000000,0.000000,7.655218,packed,packed,packed,packed,packed,1.123240,0.241924,0.969754,1.262927,403.279246,316.528304,523.505694
p06_parser.upxnrv__small_upxnrv,packed,small_upxnrv,3879,4421,0.000000,0.352959,0.000000,0.000000,0.000000,0.000000,0.000000,7.632292,packed,packed,packed,packed,packed,1.124232,0.243369,0.964693,1.265601,401.208776,308.900120,524.214126
p07_crc.upxnrv__small_upxnrv,packed,small_upxnrv,3789,4317,0.000000,0.387452,0.000000,0.000000,0.000000,0.000000,0.000000,7.630610,packed,packed,packed,packed,packed,1.137671,0.253793,0.974577,1.273852,400.584007,306.264360,520.221365
p08_binsearch.upxnrv__small_upxnrv,packed,small_upxnrv,3854,4381,0.000000,0.340815,0.000000,0.000000,0.000000,0.000000,0.000000,7.641204,packed,packed,packed,packed,packed,1.132183,0.257950,0.972571,1.271327,393.324477,301.220858,511.881796
p09_matmul.upxnrv__small_upxnrv,packed,small_upxnrv,4053,4589,0.000000,0.332383,0.000000,0.000000,0.000000,0.000000,0.000000,7.592059,packed,packed,packed,packed,packed,1.200065,0.270649,1.047740,1.353646,437.705727,353.012273,572.579734
p10_collatz.upxnrv__small_upxnrv,packed,small_upxnrv,3809,4333,0.000000,0.347403,0.000000,0.000000,0.000000,0.000000,0.000000,7.641387,packed,packed,packed,packed,packed,1.241617,0.266497,1.078825,1.385917,416.515542,325.768784,539.630920
p12_modpow.upxnrv__small_upxnrv,packed,small_upxnrv,4027,4573,0.000000,0.337791,0.000000,0.000000,0.000000,0.000000,0.000000,7.588147,packed,packed,packed,packed,packed,1.085394,0.218435,0.932077,1.228664,410.647031,322.513244,537.254377
p01_statemachine.upxlzma__small_upxlzma,packed,small_upxlzma,6178,6758,0.000000,0.332524,0.000000,0.000000,0.000000,0.000000,0.000000,7.812603,packed,packed,packed,packed,packed,0.739054,0.155869,0.624888,0.935932,377.413339,304.287079,613.721612
p02_insertsort.upxlzma__small_upxlzma,packed,small_upxlzma,6103,6694,0.000000,0.350493,0.000000,0.000000,0.000000,0.000000,0.000000,7.815340,packed,packed,packed,packed,packed,0.727838,0.130008,0.619130,0.925456,376.259880,303.408541,615.782855
p05_vm.upxlzma__small_upxlzma,packed,small_upxlzma,6225,6846,0.000000,0.355210,0.000000,0.000000,0.000000,0.000000,0.000000,7.817834,packed,packed,packed,packed,packed,0.755731,0.141263,0.640129,0.949941,383.094865,303.944431,613.346563
p06_parser.upxlzma__small_upxlzma,packed,small_upxlzma,6045,6630,0.000000,0.345458,0.000000,0.000000,0.000000,0.000000,0.000000,7.821663,packed,packed,packed,packed,packed,0.716479,0.147276,0.612067,0.908301,354.693057,284.040750,583.176110
p07_crc.upxlzma__small_upxlzma,packed,small_upxlzma,5939,6526,0.000000,0.355203,0.000000,0.000000,0.000000,0.000000,0.000000,7.810162,packed,packed,packed,packed,packed,0.803821,0.142939,0.683186,0.999756,384.862180,311.637297,615.893076
p08_binsearch.upxlzma__small_upxlzma,packed,small_upxlzma,5980,6582,0.000000,0.351652,0.000000,0.000000,0.000000,0.000000,0.000000,7.812684,packed,packed,packed,packed,packed,0.708619,0.157163,0.605083,0.898927,352.716309,281.724323,579.659867
p09_matmul.upxlzma__small_upxlzma,packed,small_upxlzma,6189,6790,0.000000,0.323673,0.000000,0.000000,0.000000,0.000000,0.000000,7.818104,packed,packed,packed,packed,packed,0.783146,0.141125,0.678983,0.984596,388.351636,323.903107,617.619817
