name,regime,sublabel,n,code_bytes,base_rate,ece_always_benign,ece_oracle,ece_mmae,ece_clf,ece_rule,ece_guard,region_ent,mmae_pick,mmae_nis_pick,clf_pick,rule_pick,guard_pick,s_glob_benign_eng,s_spat_benign_eng,s_glob_packed_eng,s_glob_obf_eng,nis_benign_eng,nis_packed_eng,nis_obf_eng
icc_coreutils_64_O1_od,benign,clean,37812,41500,0.270020,0.003783,0.003783,0.270020,0.003783,0.003783,0.003783,6.432638,packed,packed,benign,benign,benign,0.584162,0.053155,0.584009,0.846866,372.114226,371.976811,714.066671
icc_coreutils_64_O0_sum,benign,clean,23994,26588,0.296783,0.002264,0.002264,0.002264,0.002264,0.002264,0.002264,5.722606,benign,benign,benign,benign,benign,0.926831,0.066031,0.926831,1.183183,429.822824,429.822824,757.814339
icc_coreutils_64_O2_make-prime-list,benign,clean,1881,2076,0.316853,0.005963,0.005963,0.005963,0.005963,0.005963,0.005963,6.190680,benign,benign,benign,benign,benign,0.512460,0.066124,0.512460,0.749528,302.242308,302.242308,616.095446
gcc_coreutils_64_O1_numfmt,benign,clean,38310,42044,0.266353,0.002466,0.002466,0.002466,0.002466,0.002466,0.002466,6.173644,benign,benign,benign,benign,benign,0.602584,0.101840,0.602584,0.879828,419.900970,419.900970,768.534398
gcc_coreutils_64_O0_csplit,benign,clean,111676,121324,0.286400,0.000998,0.000998,0.000998,0.000998,0.000998,0.000998,5.568281,benign,benign,benign,benign,benign,0.771545,0.065181,0.771545,1.037271,417.971817,417.971817,779.416250
icc_coreutils_64_O0_basename,benign,clean,18567,20492,0.298864,0.003995,0.003995,0.003995,0.003995,0.003995,0.003995,5.691837,benign,benign,benign,benign,benign,0.904534,0.062220,0.904534,1.174578,491.814394,491.814394,822.873521
gcc_coreutils_64_O3_fold,benign,clean,25144,27372,0.266823,0.002566,0.002566,0.002566,0.002566,0.002566,0.002566,6.232742,benign,benign,benign,benign,benign,0.546042,0.073261,0.546042,0.821052,376.919237,376.919237,715.705938
gcc_coreutils_64_O2_paste,benign,clean,16498,18172,0.277064,0.002751,0.002751,0.002751,0.002751,0.002751,0.002751,6.178741,benign,benign,benign,benign,benign,0.652241,0.075299,0.652241,0.933430,452.023921,452.023921,779.335704
icc_coreutils_64_O2_md5sum,benign,clean,21092,23148,0.280296,0.002368,0.002368,0.002368,0.002368,0.002368,0.002368,6.471591,benign,benign,benign,benign,benign,0.765144,0.075886,0.765144,1.063120,567.277509,567.277509,893.970998
gcc_coreutils_64_O3_hostid,benign,clean,22587,24524,0.263072,0.004215,0.004215,0.004215,0.004215,0.004215,0.004215,6.140806,benign,benign,benign,benign,benign,0.669287,0.088355,0.669287,0.966597,481.124799,481.124799,822.771976
