stem,level,split,n,code_bytes,entropy,base_rate,s_glob,s_spat,ece_raw,ece_default,ece_oracle,ece_sig,ece_se,sig_pick,se_pick
tail,O1,holdout,34609,37324,6.092990,0.267965,0.588022,0.043184,0.009437,0.002674,0.001058,0.001058,0.002077,O1,O3
tail,O2,holdout,35603,39308,6.237499,0.275735,0.602486,0.056009,0.015201,0.002921,0.002921,0.002716,0.002740,O1,O3
tail,O3,holdout,46951,51516,6.275853,0.271943,0.558377,0.063783,0.014015,0.002771,0.002649,0.004113,0.002649,O1,O3
comm,O0,holdout,22974,25532,5.717155,0.297118,0.935544,0.053314,0.012988,0.004401,0.002359,0.002359,0.002359,O0,O0
comm,O1,holdout,17306,18748,6.125600,0.276494,0.585786,0.064057,0.015877,0.002777,0.001181,0.001181,0.001181,O1,O1
comm,O2,holdout,18157,19948,6.233495,0.280112,0.732801,0.079116,0.020791,0.002956,0.002956,0.002956,0.002956,O2,O2
comm,O3,holdout,27008,29420,6.226046,0.266810,0.604385,0.079443,0.016114,0.001312,0.001825,0.001825,0.001312,O3,O2
printf,O0,holdout,35843,40812,5.699630,0.286081,1.328502,0.126967,0.018286,0.004622,0.003712,0.003712,0.003712,O0,O0
printf,O1,holdout,27897,30828,6.135891,0.267376,0.566923,0.070299,0.012034,0.005645,0.004073,0.005150,0.004073,O3,O1
printf,O2,holdout,26970,30044,6.228055,0.268001,0.614731,0.096079,0.018722,0.004196,0.004196,0.004196,0.004196,O2,O2
printf,O3,holdout,30682,34012,6.250772,0.268594,0.646893,0.099137,0.017354,0.003811,0.002907,0.003811,0.002907,O2,O3
wc,O0,holdout,25822,28336,5.752114,0.291341,0.791166,0.056352,0.011304,0.003748,0.002828,0.003937,0.002828,O1,O0
wc,O1,holdout,19353,20780,6.091542,0.269674,0.685314,0.073265,0.014353,0.002821,0.002271,0.002821,0.002271,O2,O1
wc,O2,holdout,20164,22012,6.247132,0.275888,0.772267,0.094078,0.019193,0.002237,0.002237,0.002237,0.002237,O2,O2
