name,regime,sublabel,arm,pick,tau,n_cand,n_pos,n_accept,tp,fp,fn,n_window,win_accept
gcc_coreutils_64_O2_mktemp,benign,clean,stale,benign,0.90,20162,5683,5050,5038,12,645,0,0
gcc_coreutils_64_O2_mktemp,benign,clean,switch_rule,benign,0.50,20162,5683,5744,5460,284,223,0,0
gcc_coreutils_64_O2_mktemp,benign,clean,switch_rule,benign,0.70,20162,5683,5185,5148,37,535,0,0
gcc_coreutils_64_O2_mktemp,benign,clean,switch_rule,benign,0.90,20162,5683,5050,5038,12,645,0,0
gcc_coreutils_64_O2_mktemp,benign,clean,switch_guard,benign,0.50,20162,5683,5744,5460,284,223,0,0
gcc_coreutils_64_O2_mktemp,benign,clean,switch_guard,benign,0.70,20162,5683,5185,5148,37,535,0,0
gcc_coreutils_64_O2_mktemp,benign,clean,switch_guard,benign,0.90,20162,5683,5050,5038,12,645,0,0
gcc_coreutils_64_O2_mktemp,benign,clean,oracle,benign,0.50,20162,5683,5744,5460,284,223,0,0
gcc_coreutils_64_O2_mktemp,benign,clean,oracle,benign,0.70,20162,5683,5185,5148,37,535,0,0
gcc_coreutils_64_O2_mktemp,benign,clean,oracle,benign,0.90,20162,5683,5050,5038,12,645,0,0
gcc_coreutils_64_O2_dirname,benign,clean,stale,benign,0.50,14582,4067,4135,3879,256,188,0,0
gcc_coreutils_64_O2_dirname,benign,clean,stale,benign,0.70,14582,4067,3650,3608,42,459,0,0
gcc_coreutils_64_O2_dirname,benign,clean,stale,benign,0.90,14582,4067,3522,3506,16,561,0,0
gcc_coreutils_64_O2_dirname,benign,clean,switch_rule,benign,0.50,14582,4067,4135,3879,256,188,0,0
gcc_coreutils_64_O2_dirname,benign,clean,switch_rule,benign,0.70,14582,4067,3650,3608,42,459,0,0
gcc_coreutils_64_O2_dirname,benign,clean,switch_rule,benign,0.90,14582,4067,3522,3506,16,561,0,0
gcc_coreutils_64_O2_dirname,benign,clean,switch_guard,benign,0.50,14582,4067,4135,3879,256,188,0,0
gcc_coreutils_64_O2_dirname,benign,clean,switch_guard,benign,0.70,14582,4067,3650,3608,42,459,0,0
gcc_coreutils_64_O2_dirname,benign,clean,switch_guard,benign,0.90,14582,4067,3522,3506,16,561,0,0
gcc_coreutils_64_O2_dirname,benign,clean,oracle,benign,0.50,14582,4067,4135,3879,256,188,0,0
gcc_coreutils_64_O2_dirname,benign,clean,oracle,benign,0.70,14582,4067,3650,3608,42,459,0,0
gcc_coreutils_64_O2_dirname,benign,clean,oracle,benign,0.90,14582,4067,3522,3506,16,561,0,0
gcc_coreutils_64_O2_vdir,benign,clean,stale,benign,0.50,61575,16921,17227,16217,1010,704,0,0
gcc_coreutils_64_O2_vdir,benign,clean,stale,benign,0.70,61575,16921,15151,15050,101,1871,0,0
gcc_coreutils_64_O2_vdir,benign,clean,stale,benign,0.90,61575,16921,14646,14619,27,2302,0,0
gcc_coreutils_64_O2_vdir,benign,clean,switch_rule,benign,0.50,61575,16921,17227,16217,1010,704,0,0
gcc_coreutils_64_O2_vdir,benign,clean,switch_rule,benign,0.70,61575,16921,15151,15050,101,1871,0,0
gcc_coreutils_64_O2_vdir,benign,clean,switch_rule,benign,0.90,61575,16921,14646,14619,27,2302,0,0
gcc_coreutils_64_O2_vdir,benign,clean,switch_guard,benign,0.50,61575,16921,17227,16217,1010,704,0,0
gcc_coreutils_64_O2_vdir,benign,clean,switch_guard,benign,0.70,61575,16921,15151,15050,101,1871,0,0
gcc_coreutils_64_O2_vdir,benign,clean,switch_guard,benign,0.90,61575,16921,14646,14619,27,2302,0,0
gcc_coreutils_64_O2_vdir,benign,clean,oracle,benign,0.50,61575,16921,17227,16217,1010,704,0,0
gcc_coreutils_64_O2_vdir,benign,clean,oracle,benign,0.70,61575,16921,15151,15050,101,1871,0,0
gcc_coreutils_64_O2_vdir,benign,clean,oracle,benign,0.90,61575,16921,14646,14619,27,2302,0,0
icc_coreutils_64_O3_unexpand,benign,clean,stale,benign,0.50,24698,6510,6639,6281,358,229,0,0
icc_coreutils_64_O3_unexpand,benign,clean,stale,benign,0.70,24698,6510,5981,5940,41,570,0,0
icc_coreutils_64_O3_unexpand,benign,clean,stale,benign,0.90,24698,6510,5825,5810,15,700,0,0
icc_coreutils_64_O3_unexpand,benign,clean,switch_rule,benign,0.50,24698,6510,6639,6281,358,229,0,0
icc_coreutils_64_O3_unexpand,benign,clean,switch_rule,benign,0.70,24698,6510,5981,5940,41,570,0,0
icc_coreutils_64_O3_unexpand,benign,clean,switch_rule,benign,0.90,24698,6510,5825,5810,15,700,0,0
icc_coreutils_64_O3_unexpand,benign,clean,switch_guard,benign,0.50,24698,6510,6639,6281,358,229,0,0
icc_coreutils_64_O3_unexpand,benign,clean,switch_guard,benign,0.70,24698,6510,5981,5940,41,570,0,0
icc_coreutils_64_O3_unexpand,benign,clean,switch_guard,benign,0.90,24698,6510,5825,5810,15,700,0,0
icc_coreutils_64_O3_unexpand,benign,clean,oracle,benign,0.50,24698,6510,6639,6281,358,229,0,0
icc_coreutils_64_O3_unexpand,benign,clean,oracle,benign,0.70,24698,6510,5981,5940,41,570,0,0
icc_coreutils_64_O3_unexpand,benign,clean,oracle,benign,0.90,24698,6510,5825,5810,15,700,0,0
icc_coreutils_64_O0_pr,benign,clean,stale,benign,0.50,41888,12175,12356,11912,444,263,0,0
icc_coreutils_64_O0_pr,benign,clean,stale,benign,0.70,41888,12175,11572,11457,115,718,0,0
icc_coreutils_64_O0_pr,benign,clean,stale,benign,0.90,41888,12175,11180,11143,37,1032,0,0
icc_coreutils_64_O0_pr,benign,clean,switch_rule,benign,0.50,41888,12175,12356,11912,444,263,0,0
icc_coreutils_64_O0_pr,benign,clean,switch_rule,benign,0.70,41888,12175,11572,11457,115,718,0,0
icc_coreutils_64_O0_pr,benign,clean,switch_rule,benign,0.90,41888,12175,11180,11143,37,1032,0,0
icc_coreutils_64_O0_pr,benign,clean,switch_guard,benign,0.50,41888,12175,12356,11912,444,263,0,0
icc_coreutils_64_O0_pr,benign,clean,switch_guard,benign,0.70,41888,12175,11572,11457,115,718,0,0
icc_coreutils_64_O0_pr,benign,clean,switch_guard,benign,0.90,41888,12175,11180,11143,37,1032,0,0
icc_coreutils_64_O0_pr,benign,clean,oracle,benign,0.50,41888,12175,12356,11912,444,263,0,0
icc_coreutils_64_O0_pr,benign,clean,oracle,benign,0.70,41888,12175,11572,11457,115,718,0,0
icc_coreutils_64_O0_pr,benign,clean,oracle,benign,0.90,41888,12175,11180,11143,37,1032,0,0
icc_coreutils_64_O3_numfmt,benign,clean,stale,benign,0.50,48776,12985,13256,12565,691,420,0,0
icc_coreutils_64_O3_numfmt,benign,clean,stale,benign,0.70,48776,12985,11996,11896,100,1089,0,0
icc_coreutils_64_O3_numfmt,benign,clean,stale,benign,0.90,48776,12985,11550,11514,36,1471,0,0
icc_coreutils_64_O3_numfmt,benign,clean,switch_rule,benign,0.50,48776,12985,13256,12565,691,420,0,0
icc_coreutils_64_O3_numfmt,benign,clean,switch_rule,benign,0.70,48776,12985,11996,11896,100,1089,0,0
icc_coreutils_64_O3_numfmt,benign,clean,switch_rule,benign,0.90,48776,12985,11550,11514,36,1471,0,0
icc_coreutils_64_O3_numfmt,benign,clean,switch_guard,benign,0.50,48776,12985,13256,12565,691,420,0,0
icc_coreutils_64_O3_numfmt,benign,clean,switch_guard,benign,0.70,48776,12985,11996,11896,100,1089,0,0
icc_coreutils_64_O3_numfmt,benign,clean,switch_guard,benign,0.90,48776,12985,11550,11514,36,1471,0,0
icc_coreutils_64_O3_numfmt,benign,clean,oracle,benign,0.50,48776,12985,13256,12565,691,420,0,0
icc_coreutils_64_O3_numfmt,benign,clean,oracle,benign,0.70,48776,12985,11996,11896,100,1089,0,0
icc_coreutils_64_O3_numfmt,benign,clean,oracle,benign,0.90,48776,12985,11550,11514,36,1471,0,0
icc_coreutils_64_O0_sha224sum,benign,clean,stale,benign,0.50,37285,12004,12054,11875,179,129,0,0
icc_coreutils_64_O0_sha224sum,benign,clean,stale,benign,0.70,37285,12004,11657,11601,56,403,0,0
icc_coreutils_64_O0_sha224sum,benign,clean,stale,benign,0.90,37285,12004,11437,11425,12,579,0,0
icc_coreutils_64_O0_sha224sum,benign,clean,switch_rule,benign,0.50,37285,12004,12054,11875,179,129,0,0
icc_coreutils_64_O0_sha224sum,benign,clean,switch_rule,benign,0.70,37285,12004,11657,11601,56,403,0,0
icc_coreutils_64_O0_sha224sum,benign,clean,switch_rule,benign,0.90,37285,12004,11437,11425,12,579,0,0
icc_coreutils_64_O0_sha224sum,benign,clean,switch_guard,benign,0.50,37285,12004,12054,11875,179,129,0,0
icc_coreutils_64_O0_sha224sum,benign,clean,switch_guard,benign,0.70,37285,12004,11657,11601,56,403,0,0
icc_coreutils_64_O0_sha224sum,benign,clean,switch_guard,benign,0.90,37285,12004,11437,11425,12,579,0,0
icc_coreutils_64_O0_sha224sum,benign,clean,oracle,benign,0.50,37285,12004,12054,11875,179,129,0,0
icc_coreutils_64_O0_sha224sum,benign,clean,oracle,benign,0.70,37285,12004,11657,11601,56,403,0,0
icc_coreutils_64_O0_sha224sum,benign,clean,oracle,benign,0.90,37285,12004,11437,11425,12,579,0,0
gcc_coreutils_64_O1_tee,benign,clean,stale,benign,0.50,14873,4133,4201,4016,185,117,0,0
gcc_coreutils_64_O1_tee,benign,clean,stale,benign,0.70,14873,4133,3812,3775,37,358,0,0
gcc_coreutils_64_O1_tee,benign,clean,stale,benign,0.90,14873,4133,3671,3659,12,474,0,0
gcc_coreutils_64_O1_tee,benign,clean,switch_rule,benign,0.50,14873,4133,4201,4016,185,117,0,0
gcc_coreutils_64_O1_tee,benign,clean,switch_rule,benign,0.70,14873,4133,3812,3775,37,358,0,0
gcc_coreutils_64_O1_tee,benign,clean,switch_rule,benign,0.90,14873,4133,3671,3659,12,474,0,0
gcc_coreutils_64_O1_tee,benign,clean,switch_guard,benign,0.50,14873,4133,4201,4016,185,117,0,0
gcc_coreutils_64_O1_tee,benign,clean,switch_guard,benign,0.70,14873,4133,3812,3775,37,358,0,0
gcc_coreutils_64_O1_tee,benign,clean,switch_guard,benign,0.90,14873,4133,3671,3659,12,474,0,0
gcc_coreutils_64_O1_tee,benign,clean,oracle,benign,0.50,14873,4133,4201,4016,185,117,0,0
gcc_coreutils_64_O1_tee,benign,clean,oracle,benign,0.70,14873,4133,3812,3775,37,358,0,0
gcc_coreutils_64_O1_tee,benign,clean,oracle,benign,0.90,14873,4133,3671,3659,12,474,0,0
gcc_coreutils_64_O2_sort,benign,clean,stale,benign,0.50,61001,16818,16995,16340,655,478,0,0
gcc_coreutils_64_O2_sort,benign,clean,stale,benign,0.70,61001,16818,15642,15577,65,1241,0,0
gcc_coreutils_64_O2_sort,benign,clean,stale,benign,0.90,61001,16818,15403,15383,20,1435,0,0
gcc_coreutils_64_O2_sort,benign,clean,switch_rule,benign,0.50,61001,16818,16995,16340,655,478,0,0
gcc_coreutils_64_O2_sort,benign,clean,switch_rule,benign,0.70,61001,16818,15642,15577,65,1241,0,0
gcc_coreutils_64_O2_sort,benign,clean,switch_rule,benign,0.90,61001,16818,15403,15383,20,1435,0,0
gcc_coreutils_64_O2_sort,benign,clean,switch_guard,benign,0.50,61001,16818,16995,16340,655,478,0,0
gcc_coreutils_64_O2_sort,benign,clean,switch_guard,benign,0.70,61001,16818,15642,15577,65,1241,0,0
gcc_coreutils_64_O2_sort,benign,clean,switch_guard,benign,0.90,61001,16818,15403,15383,20,1435,0,0
gcc_coreutils_64_O2_sort,benign,clean,oracle,benign,0.50,61001,16818,16995,16340,655,478,0,0
gcc_coreutils_64_O2_sort,benign,clean,oracle,benign,0.70,61001,16818,15642,15577,65,1241,0,0
gcc_coreutils_64_O2_sort,benign,clean,oracle,benign,0.90,61001,16818,15403,15383,20,1435,0,0
icc_coreutils_64_O0_stat,benign,clean,stale,benign,0.50,61134,17482,17690,17034,656,448,0,0
icc_coreutils_64_O0_stat,benign,clean,stale,benign,0.70,61134,17482,16540,16343,197,1139,0,0
icc_coreutils_64_O0_stat,benign,clean,stale,benign,0.90,61134,17482,15800,15702,98,1780,0,0
icc_coreutils_64_O0_stat,benign,clean,switch_rule,benign,0.50,61134,17482,17690,17034,656,448,0,0
icc_coreutils_64_O0_stat,benign,clean,switch_rule,benign,0.70,61134,17482,16540,16343,197,1139,0,0
icc_coreutils_64_O0_stat,benign,clean,switch_rule,benign,0.90,61134,17482,15800,15702,98,1780,0,0
icc_coreutils_64_O0_stat,benign,clean,switch_guard,benign,0.50,61134,17482,17690,17034,656,448,0,0
icc_coreutils_64_O0_stat,benign,clean,switch_guard,benign,0.70,61134,17482,16540,16343,197,1139,0,0
icc_coreutils_64_O0_stat,benign,clean,switch_guard,benign,0.90,61134,17482,15800,15702,98,1780,0,0
icc_coreutils_64_O0_stat,benign,clean,oracle,benign,0.50,61134,17482,17690,17034,656,448,0,0
icc_coreutils_64_O0_stat,benign,clean,oracle,benign,0.70,61134,17482,16540,16343,197,1139,0,0
icc_coreutils_64_O0_stat,benign,clean,oracle,benign,0.90,61134,17482,15800,15702,98,1780,0,0
icc_coreutils_64_O2_unlink,benign,clean,stale,benign,0.50,14590,4041,4113,3862,251,179,0,0
icc_coreutils_64_O2_unlink,benign,clean,stale,benign,0.70,14590,4041,3628,3591,37,450,0,0
icc_coreutils_64_O2_unlink,benign,clean,stale,benign,0.90,14590,4041,3500,3485,15,556,0,0
icc_coreutils_64_O2_unlink,benign,clean,switch_rule,benign,0.50,14590,4041,4113,3862,251,179,0,0
icc_coreutils_64_O2_unlink,benign,clean,switch_rule,benign,0.70,14590,4041,3628,3591,37,450,0,0
icc_coreutils_64_O2_unlink,benign,clean,switch_rule,benign,0.90,14590,4041,3500,3485,15,556,0,0
icc_coreutils_64_O2_unlink,benign,clean,switch_guard,benign,0.50,14590,4041,4113,3862,251,179,0,0
icc_coreutils_64_O2_unlink,benign,clean,switch_guard,benign,0.70,14590,4041,3628,3591,37,450,0,0
icc_coreutils_64_O2_unlink,benign,clean,switch_guard,benign,0.90,14590,4041,3500,3485,15,556,0,0
icc_coreutils_64_O2_unlink,benign,clean,oracle,benign,0.50,14590,4041,4113,3862,251,179,0,0
icc_coreutils_64_O2_unlink,benign,clean,oracle,benign,0.70,14590,4041,3628,3591,37,450,0,0
icc_coreutils_64_O2_unlink,benign,clean,oracle,benign,0.90,14590,4041,3500,3485,15,556,0,0
gcc_coreutils_64_O2_runcon,benign,clean,stale,benign,0.50,15837,4425,4474,4234,240,191,0,0
gcc_coreutils_64_O2_runcon,benign,clean,stale,benign,0.70,15837,4425,4012,3974,38,451,0,0
gcc_coreutils_64_O2_runcon,benign,clean,stale,benign,0.90,15837,4425,3886,3872,14,553,0,0
gcc_coreutils_64_O2_runcon,benign,clean,switch_rule,benign,0.50,15837,4425,4474,4234,240,191,0,0
gcc_coreutils_64_O2_runcon,benign,clean,switch_rule,benign,0.70,15837,4425,4012,3974,38,451,0,0
gcc_coreutils_64_O2_runcon,benign,clean,switch_rule,benign,0.90,15837,4425,3886,3872,14,553,0,0
gcc_coreutils_64_O2_runcon,benign,clean,switch_guard,benign,0.50,15837,4425,4474,4234,240,191,0,0
gcc_coreutils_64_O2_runcon,benign,clean,switch_guard,benign,0.70,15837,4425,4012,3974,38,451,0,0
gcc_coreutils_64_O2_runcon,benign,clean,switch_guard,benign,0.90,15837,4425,3886,3872,14,553,0,0
gcc_coreutils_64_O2_runcon,benign,clean,oracle,benign,0.50,15837,4425,4474,4234,240,191,0,0
gcc_coreutils_64_O2_runcon,benign,clean,oracle,benign,0.70,15837,4425,4012,3974,38,451,0,0
gcc_coreutils_64_O2_runcon,benign,clean,oracle,benign,0.90,15837,4425,3886,3872,14,553,0,0
icc_coreutils_64_O2_chroot,benign,clean,stale,benign,0.50,17356,4873,4953,4673,280,200,0,0
icc_coreutils_64_O2_chroot,benign,clean,stale,benign,0.70,17356,4873,4373,4329,44,544,0,0
icc_coreutils_64_O2_chroot,benign,clean,stale,benign,0.90,17356,4873,4219,4208,11,665,0,0
icc_coreutils_64_O2_chroot,benign,clean,switch_rule,benign,0.50,17356,4873,4953,4673,280,200,0,0
icc_coreutils_64_O2_chroot,benign,clean,switch_rule,benign,0.70,17356,4873,4373,4329,44,544,0,0
icc_coreutils_64_O2_chroot,benign,clean,switch_rule,benign,0.90,17356,4873,4219,4208,11,665,0,0
